,date,positive_sentiment,stock
375,2020-08-19,1,ANTM
376,2020-08-18,1,ANTM
377,2020-08-14,1,ANTM
378,2020-08-13,0,ANTM
379,2020-08-12,0,ANTM
380,2020-08-11,0,ANTM
381,2020-08-10,0,ANTM
382,2020-08-07,1,ANTM
383,2020-08-06,1,ANTM
384,2020-08-05,1,ANTM
385,2020-08-04,0,ANTM
386,2020-08-03,1,ANTM
387,2020-07-30,1,ANTM
388,2020-07-29,0,ANTM
389,2020-07-28,1,ANTM
390,2020-07-27,0,ANTM
391,2020-07-24,1,ANTM
392,2020-07-23,1,ANTM
393,2020-07-22,1,ANTM
394,2020-07-21,0,ANTM
395,2020-07-20,1,ANTM
396,2020-07-17,0,ANTM
397,2020-07-16,0,ANTM
398,2020-07-15,0,ANTM
399,2020-07-14,1,ANTM
400,2020-07-13,0,ANTM
401,2020-07-10,0,ANTM
402,2020-07-09,1,ANTM
403,2020-07-08,1,ANTM
404,2020-07-07,1,ANTM
405,2020-07-06,0,ANTM
406,2020-07-03,1,ANTM
407,2020-07-02,0,ANTM
408,2020-07-01,1,ANTM
409,2020-06-30,0,ANTM
410,2020-06-29,0,ANTM
411,2020-06-26,1,ANTM
412,2020-06-25,0,ANTM
413,2020-06-24,1,ANTM
414,2020-06-23,0,ANTM
415,2020-06-22,0,ANTM
416,2020-06-19,0,ANTM
417,2020-06-18,1,ANTM
418,2020-06-17,1,ANTM
419,2020-06-16,0,ANTM
420,2020-06-15,1,ANTM
421,2020-06-12,0,ANTM
422,2020-06-11,0,ANTM
423,2020-06-10,0,ANTM
424,2020-06-09,1,ANTM
425,2020-06-08,1,ANTM
426,2020-06-05,1,ANTM
427,2020-06-04,0,ANTM
428,2020-06-03,1,ANTM
429,2020-06-02,1,ANTM
430,2020-05-29,1,ANTM
431,2020-05-28,0,ANTM
432,2020-05-27,0,ANTM
433,2020-05-26,0,ANTM
434,2020-05-20,0,ANTM
435,2020-05-19,1,ANTM
436,2020-05-18,0,ANTM
437,2020-05-15,0,ANTM
438,2020-05-14,1,ANTM
439,2020-05-13,0,ANTM
440,2020-05-12,0,ANTM
441,2020-05-11,1,ANTM
442,2020-05-08,0,ANTM
443,2020-05-06,1,ANTM
444,2020-05-05,1,ANTM
445,2020-05-04,0,ANTM
446,2020-04-30,1,ANTM
447,2020-04-29,0,ANTM
448,2020-04-28,1,ANTM
449,2020-04-27,0,ANTM
450,2020-04-24,0,ANTM
451,2020-04-23,1,ANTM
452,2020-04-22,0,ANTM
453,2020-04-21,0,ANTM
454,2020-04-20,0,ANTM
455,2020-04-17,0,ANTM
456,2020-04-16,0,ANTM
457,2020-04-15,1,ANTM
458,2020-04-14,1,ANTM
459,2020-04-13,1,ANTM
460,2020-04-09,0,ANTM
461,2020-04-08,0,ANTM
462,2020-04-07,1,ANTM
463,2020-04-06,1,ANTM
464,2020-04-03,1,ANTM
465,2020-04-02,0,ANTM
466,2020-04-01,1,ANTM
467,2020-03-31,0,ANTM
468,2020-03-30,1,ANTM
469,2020-03-27,1,ANTM
470,2020-03-26,1,ANTM
471,2020-03-24,0,ANTM
472,2020-03-23,1,ANTM
473,2020-03-20,0,ANTM
474,2020-03-19,0,ANTM
475,2020-03-18,0,ANTM
476,2020-03-17,0,ANTM
477,2020-03-16,0,ANTM
478,2020-03-13,0,ANTM
479,2020-03-12,0,ANTM
480,2021-03-12,1,ASII
481,2021-03-10,0,ASII
482,2021-03-09,0,ASII
483,2021-03-08,1,ASII
484,2021-03-05,0,ASII
485,2021-03-04,1,ASII
486,2021-03-03,0,ASII
487,2021-03-02,1,ASII
488,2021-03-01,1,ASII
489,2021-02-26,0,ASII
490,2021-02-25,0,ASII
491,2021-02-24,1,ASII
492,2021-02-23,0,ASII
493,2021-02-22,1,ASII
494,2021-02-19,0,ASII
495,2021-02-18,0,ASII
496,2021-02-17,0,ASII
497,2021-02-16,0,ASII
498,2021-02-15,1,ASII
499,2021-02-11,1,ASII
500,2021-02-10,0,ASII
501,2021-02-09,0,ASII
502,2021-02-08,0,ASII
503,2021-02-05,1,ASII
504,2021-02-04,1,ASII
505,2021-02-03,0,ASII
506,2021-02-02,1,ASII
507,2021-02-01,0,ASII
508,2021-01-29,1,ASII
509,2021-01-28,0,ASII
510,2021-01-27,0,ASII
511,2021-01-26,0,ASII
512,2021-01-25,0,ASII
513,2021-01-22,1,ASII
514,2021-01-21,1,ASII
515,2021-01-20,0,ASII
516,2021-01-19,1,ASII
517,2021-01-18,0,ASII
518,2021-01-15,0,ASII
519,2021-01-14,1,ASII
520,2021-01-13,1,ASII
521,2021-01-12,0,ASII
522,2021-01-11,1,ASII
523,2021-01-08,0,ASII
524,2021-01-07,0,ASII
525,2021-01-06,0,ASII
526,2021-01-05,1,ASII
527,2021-01-04,0,ASII
528,2020-12-30,0,ASII
529,2020-12-29,0,ASII
530,2020-12-28,1,ASII
531,2020-12-23,0,ASII
532,2020-12-22,0,ASII
533,2020-12-21,0,ASII
534,2020-12-18,1,ASII
535,2020-12-17,1,ASII
536,2020-12-16,1,ASII
537,2020-12-15,0,ASII
538,2020-12-14,0,ASII
539,2020-12-11,1,ASII
540,2020-12-10,0,ASII
541,2020-12-08,1,ASII
542,2020-12-07,1,ASII
543,2020-12-04,0,ASII
544,2020-12-03,1,ASII
545,2020-12-02,1,ASII
546,2020-12-01,0,ASII
547,2020-11-30,0,ASII
548,2020-11-27,1,ASII
549,2020-11-26,0,ASII
550,2020-11-25,0,ASII
551,2020-11-24,1,ASII
552,2020-11-23,0,ASII
553,2020-11-20,0,ASII
